x y l s
304200.00 493000.00 15 71
304400.00 493000.00 15 72
304600.00 493000.00 15 73
304800.00 493000.00 15 74
305000.00 493000.00 15 75
305200.00 493000.00 15 76
305400.00 493000.00 15 77
305600.00 493000.00 15 78
305800.00 493000.00 15 79
306000.00 493000.00 15 80
306200.00 493000.00 15 81
306400.00 493000.00 15 82
306600.00 493000.00 15 83
306800.00 493000.00 15 84
307000.00 493000.00 15 85
307200.00 493000.00 15 86
307400.00 493000.00 15 87
307600.00 493000.00 15 88
307800.00 493000.00 15 89
308000.00 493000.00 15 90
308200.00 493000.00 15 91
308400.00 493000.00 15 92
308600.00 493000.00 15 93
308800.00 493000.00 15 94
309000.00 493000.00 15 95
309200.00 493000.00 15 96
309400.00 493000.00 15 97
309600.00 493000.00 15 98
309800.00 493000.00 15 99
310000.00 493000.00 15 100
310200.00 493000.00 15 101
310400.00 493000.00 15 102
310600.00 493000.00 15 103
310800.00 493000.00 15 104
311000.00 493000.00 15 105
311200.00 493000.00 15 106
311400.00 493000.00 15 107
311600.00 493000.00 15 108
311800.00 493000.00 15 109
312000.00 493000.00 15 110
312200.00 493000.00 15 111
312400.00 493000.00 15 112
312600.00 493000.00 15 113
312800.00 493000.00 15 114
313000.00 493000.00 15 115
313200.00 493000.00 15 116
313400.00 493000.00 15 117
313600.00 493000.00 15 118
313800.00 493000.00 15 119
314000.00 493000.00 15 120
314200.00 493000.00 15 121
314400.00 493000.00 15 122
314600.00 493000.00 15 123
314800.00 493000.00 15 124
315000.00 493000.00 15 125
315200.00 493000.00 15 126
315400.00 493000.00 15 127
315600.00 493000.00 15 128
315800.00 493000.00 15 129
292200.00 493200.00 16 11
292400.00 493200.00 16 12
292600.00 493200.00 16 13
292800.00 493200.00 16 14
293000.00 493200.00 16 15
293200.00 493200.00 16 16
293400.00 493200.00 16 17
293600.00 493200.00 16 18
293800.00 493200.00 16 19
294000.00 493200.00 16 20
294200.00 493200.00 16 21
294400.00 493200.00 16 22
294600.00 493200.00 16 23
294800.00 493200.00 16 24
295000.00 493200.00 16 25
295200.00 493200.00 16 26
295400.00 493200.00 16 27
295600.00 493200.00 16 28
295800.00 493200.00 16 29
296000.00 493200.00 16 30
296200.00 493200.00 16 31
296400.00 493200.00 16 32
296600.00 493200.00 16 33
296800.00 493200.00 16 34
297000.00 493200.00 16 35
297200.00 493200.00 16 36
297400.00 493200.00 16 37
297600.00 493200.00 16 38
297800.00 493200.00 16 39
298000.00 493200.00 16 40
298200.00 493200.00 16 41
298400.00 493200.00 16 42
298600.00 493200.00 16 43
298800.00 493200.00 16 44
299000.00 493200.00 16 45
299200.00 493200.00 16 46
299400.00 493200.00 16 47
299600.00 493200.00 16 48
299800.00 493200.00 16 49
300000.00 493200.00 16 50
300200.00 493200.00 16 51
300400.00 493200.00 16 52
300600.00 493200.00 16 53
300800.00 493200.00 16 54
301000.00 493200.00 16 55
301200.00 493200.00 16 56
301400.00 493200.00 16 57
301600.00 493200.00 16 58
301800.00 493200.00 16 59
302000.00 493200.00 16 60
302200.00 493200.00 16 61
302400.00 493200.00 16 62
302600.00 493200.00 16 63
302800.00 493200.00 16 64
303000.00 493200.00 16 65
303200.00 493200.00 16 66
303400.00 493200.00 16 67
303600.00 493200.00 16 68
303800.00 493200.00 16 69
304000.00 493200.00 16 70
304200.00 493200.00 16 71
304400.00 493200.00 16 72
304600.00 493200.00 16 73
304800.00 493200.00 16 74
305000.00 493200.00 16 75
305200.00 493200.00 16 76
305400.00 493200.00 16 77
